id,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,i_8,i_9
0,38, 7, 77, 0, 82, 2, 4, 175, 190, 210,
1,260, 1435, 1396, 1585, 1354, 2168, 2526, 2794, 3044, 1087,
2,73, 605, 818, 993, 1221, 1558, 1699, 2302, 2745, 2079,
3,1480, 2101, 4681, 4968, 4942, 4227, 3661, 6319, 5648, 5076,
4,135, 119, 56, 85, 191, 149, 198, 218, 248, 249,
5,808, 1611, 2332, 2267, 2158, 2479, 3945, 3242, 3454, 4932,
6,169, 594, 647, 327, 913, 356, 1391, 1107, 901, 1023,
7,69, 31, 680, 822, 1260, 1426, 1442, 1576, 1424, 627,
8,41, 60, 62, 0, 87, 2, 115, 126, 167, 132,
9,49, 282, 43, 444, 630, 654, 632, 838, 920, 1025,
10,24, 34, 29, 37, 35, 40, 7, 18, 45, 6,
11,0, 2, 6, 18, 33, 23, 25, 36, 27, 31,
12,2255, 4189, 4298, 6734, 4263, 8755, 5259, 5618, 6192, 8487,
13,3, 12, 0, 13, 21, 20, 16, 26, 32, 2,
14,4, 2, 58, 49, 25, 83, 79, 23, 56, 94,
15,170, 250, 315, 346, 448, 935, 1264, 890, 1491, 1395,
16,1, 5, 4, 9, 8, 11, 10, 14, 15, 17,
17,185, 224, 1053, 1307, 593, 2590, 3136, 3726, 2771, 4996,
18,425, 489, 560, 542, 766, 827, 1004, 353, 1054, 206,
19,28, 293, 232, 639, 679, 687, 774, 450, 1082, 1515,
